Date,cci_30,relative_strength_index_14,sma_12,sma_26,stochastic_oscillator
2016-07-21,197.24196899999998,70.22830739,50.66621967,49.1613965,83.87595599
2016-07-22,183.90706469999998,72.81682096,51.076725,49.41255515,95.81395414
2016-07-25,168.41277659999997,73.33559978,51.49988525,49.64400073,98.29457391
2016-07-26,158.5088196,73.43797188,51.85265125,49.88603269,91.47905282
2016-07-27,128.719763,68.08949112,52.13739425,50.10944688,80.83620877
2016-07-28,110.3572595,68.17710018,52.3746805,50.29270523,77.59331949999999
2016-07-29,112.9774337,70.24382397,52.6254135,50.50042223,86.44442222
2016-08-01,104.7411974,69.21383164,52.85004483,50.67090338,83.715623
2016-08-02,100.6818818,69.21383164,53.0778395,50.91731612,83.715623
2016-08-03,100.7354432,71.1286021,53.315917000000006,51.22907431,92.66055214
2016-08-04,102.6683679,73.07105937,53.65602775,51.51929412,97.16773420000001
2016-08-05,112.5006753,75.48194757,53.81817367,51.79016581,95.26515062
2016-08-08,106.9891101,75.88976640000001,53.99692917,52.041689500000004,94.4030597
2016-08-09,107.5626202,76.47963128,54.12585508,52.298689,89.20866518
2016-08-10,96.97083234,73.97380496,54.22788875,52.54875254,82.73380674
2016-08-11,98.02718022,75.32798814,54.34969617,52.80137135,92.80571684
2016-08-12,83.88850688,70.26583788,54.48811408,53.04084823,79.85607189
2016-08-15,89.32141618,71.30418311,54.63918625,53.253311,86.33089436
2016-08-16,66.28560842,66.80947667,54.72761508,53.44343215,61.87045391
2016-08-17,66.40671933,67.63345653,54.83350475,53.615328000000005,61.63270954
2016-08-18,66.47108519,67.91935069,54.94257808,53.77774181,61.86433819
2016-08-19,64.20287902,68.07113251,55.02239517,53.93249365,59.81728759
2016-08-22,64.12392483,68.47288481,55.07297108,54.090542000000006,58.70632707
2016-08-23,83.26379138,70.24705269,55.09597275,54.24718065,66.66664845
2016-08-24,75.61376908,70.7307783,55.115840000000006,54.43778304,57.69235207
2016-08-25,82.91051598,72.49653897,55.142143000000004,54.53352092,74.61521124
2016-08-26,84.01664702,69.61832139,55.17154125,54.62813173,55.3332
